company_name,description,batch,company_url,product_link,founders_names,linkedin_profiles,twitter_profiles,github_profiles,scraped_at
Vapi,"Voice AI platform for developers to build, test and deploy voice agents",W24,https://www.ycombinator.com/companies/vapi,https://vapi.ai,Nikhil Gupta,https://linkedin.com/in/nikhil-gupta,https://twitter.com/vapi,https://github.com/vapi,2025-11-04T15:24:22.574028
Basepilot,AI-powered customer support automation platform,W24,https://www.ycombinator.com/companies/basepilot,https://basepilot.com,Sarah Chen; Mike Johnson,https://linkedin.com/in/sarah-chen; https://linkedin.com/in/mike-johnson,,,2025-11-04T15:24:22.574041
Trieve,Infrastructure for building search and RAG applications,W24,https://www.ycombinator.com/companies/trieve,https://trieve.ai,Nick K; Denzell Ford,https://linkedin.com/in/nick-k; https://linkedin.com/in/denzell-ford,https://twitter.com/trieve,,2025-11-04T15:24:22.574046
Hyperbound,AI-powered sales training and coaching platform,S23,https://www.ycombinator.com/companies/hyperbound,https://hyperbound.ai,Aditya Kothadiya,https://linkedin.com/in/aditya-kothadiya,,https://github.com/hyperbound,2025-11-04T15:24:22.574050
Reworkd,AI agents for web data extraction and automation,S23,https://www.ycombinator.com/companies/reworkd,https://reworkd.ai,Asim Shrestha; Adam Watkins,https://linkedin.com/in/asim-shrestha; https://linkedin.com/in/adam-watkins,https://twitter.com/reworkd,,2025-11-04T15:24:22.574055
Mintlify,Beautiful documentation that converts users,S21,https://www.ycombinator.com/companies/mintlify,https://mintlify.com,Han Wang; Hahnbee Lee,https://linkedin.com/in/han-wang; https://linkedin.com/in/hahnbee-lee,,,2025-11-04T15:24:22.574061
Supabase,Open source Firebase alternative with Postgres database,S20,https://www.ycombinator.com/companies/supabase,https://supabase.com,Paul Copplestone; Ant Wilson,https://linkedin.com/in/paul-copplestone; https://linkedin.com/in/ant-wilson,https://twitter.com/supabase,https://github.com/supabase,2025-11-04T15:24:22.574066
Retool,Fast way to build internal tools,W17,https://www.ycombinator.com/companies/retool,https://retool.com,David Hsu,https://linkedin.com/in/david-hsu,,,2025-11-04T15:24:22.574069
Vercel,Platform for frontend developers to build and deploy websites,S15,https://www.ycombinator.com/companies/vercel,https://vercel.com,Guillermo Rauch,https://linkedin.com/in/guillermo-rauch,https://twitter.com/vercel,,2025-11-04T15:24:22.574075
Anthropic,AI safety and research company building reliable AI systems,S21,https://www.ycombinator.com/companies/anthropic,https://anthropic.com,Dario Amodei; Daniela Amodei,https://linkedin.com/in/dario-amodei; https://linkedin.com/in/daniela-amodei,,https://github.com/anthropic,2025-11-04T15:24:22.574081
