founder_name,company,batch,website
Nikhil Gupta,Vapi,W24,https://vapi.ai
Sarah Chen,Basepilot,W24,https://basepilot.com
Mike Johnson,Basepilot,W24,https://basepilot.com
Nick K,Trieve,W24,https://trieve.ai
Denzell Ford,Trieve,W24,https://trieve.ai
Aditya Kothadiya,Hyperbound,S23,https://hyperbound.ai
Asim Shrestha,Reworkd,S23,https://reworkd.ai
Adam Watkins,Reworkd,S23,https://reworkd.ai
Han Wang,Mintlify,S21,https://mintlify.com
Hahnbee Lee,Mintlify,S21,https://mintlify.com
Paul Copplestone,Supabase,S20,https://supabase.com
Ant Wilson,Supabase,S20,https://supabase.com
David Hsu,Retool,W17,https://retool.com
Guillermo Rauch,Vercel,S15,https://vercel.com
Dario Amodei,Anthropic,S21,https://anthropic.com
Daniela Amodei,Anthropic,S21,https://anthropic.com
